"Story","Title","Result","Date","Stability","Duration (s)"
"Testing a different request on product","As a user I want to create product","SUCCESS","2023-01-10T20:57:08.644Z[Europe/London]","0.0","0.25"
"Testing a different request on product","As a user I want to get created product with productId","SUCCESS","2023-01-10T20:57:09.001Z[Europe/London]","0.0","0.04"
"Testing a different request on product","As a user I want to update the product with productId","SUCCESS","2023-01-10T20:57:09.088Z[Europe/London]","0.0","0.05"
"Testing a different request on product","As a user I want to delete the product","SUCCESS","2023-01-10T20:57:09.232Z[Europe/London]","0.0","0.06"
"Product Application","CRUD Test","SUCCESS","2023-01-10T20:57:09.355Z[Europe/London]","0.0","0.17"
"Testing a different request on store","As a user I want to create store","SUCCESS","2023-01-10T20:57:09.630Z[Europe/London]","0.0","0.07"
"Testing a different request on store","As a user I want to get created product with productId","SUCCESS","2023-01-10T20:57:09.788Z[Europe/London]","0.0","0.06"
"Testing a different request on store","As a user I want to update the product with productId","SUCCESS","2023-01-10T20:57:09.953Z[Europe/London]","0.0","0.08"
"Testing a different request on store","As a user I want to delete the product","SUCCESS","2023-01-10T20:57:10.129Z[Europe/London]","0.0","0.07"
"Store Application","CRUD Test","SUCCESS","2023-01-10T20:57:10.354Z[Europe/London]","0.0","0.18"
